eDNA.sample,rep,Run,taxa,nReads,Transect,position,depth,lat,lon,Profile
1001,1,2,Belonidae%Cololabis%Cololabis saira,26,60,1,60,44.23212833,-124.247595,Bottom
1001,1,2,Cichlidae%Oreochromis%Oreochromis niloticus x Oreochromis aureus,110,60,1,60,44.23212833,-124.247595,Bottom
1001,1,2,Merlucciidae%Merluccius%NA,7236,60,1,60,44.23212833,-124.247595,Bottom
1001,1,2,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,16778,60,1,60,44.23212833,-124.247595,Bottom
1001,1,2,Paralichthyidae%Citharichthys%NA,40364,60,1,60,44.23212833,-124.247595,Bottom
1001,1,2,Pleuronectidae%NA%NA,65452,60,1,60,44.23212833,-124.247595,Bottom
1001,2,2,Clupeidae%Clupea%Clupea pallasii,64398,60,1,60,44.23212833,-124.247595,Bottom
1001,2,2,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,20724,60,1,60,44.23212833,-124.247595,Bottom
1001,2,2,Paralichthyidae%Citharichthys%NA,17729,60,1,60,44.23212833,-124.247595,Bottom
1001,2,2,Pleuronectidae%Isopsetta%Isopsetta isolepis,10146,60,1,60,44.23212833,-124.247595,Bottom
1001,2,2,Pleuronectidae%Lyopsetta%Lyopsetta exilis,6513,60,1,60,44.23212833,-124.247595,Bottom
1001,2,2,Pleuronectidae%NA%NA,8965,60,1,60,44.23212833,-124.247595,Bottom
1002,1,2,Cichlidae%Oreochromis%Oreochromis niloticus x Oreochromis aureus,183,60,1,60,44.23212833,-124.247595,Bottom
1002,1,2,Clupeidae%Clupea%Clupea pallasii,10767,60,1,60,44.23212833,-124.247595,Bottom
1002,1,2,Merlucciidae%Merluccius%Merluccius productus,10031,60,1,60,44.23212833,-124.247595,Bottom
1002,1,2,Merlucciidae%Merluccius%NA,1020,60,1,60,44.23212833,-124.247595,Bottom
1002,1,2,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,44059,60,1,60,44.23212833,-124.247595,Bottom
1002,1,2,Paralichthyidae%Citharichthys%NA,4433,60,1,60,44.23212833,-124.247595,Bottom
1002,1,2,Pleuronectidae%Lyopsetta%Lyopsetta exilis,13059,60,1,60,44.23212833,-124.247595,Bottom
1002,1,2,Pleuronectidae%NA%NA,26449,60,1,60,44.23212833,-124.247595,Bottom
1002,2,2,Osmeridae%NA%NA,5977,60,1,60,44.23212833,-124.247595,Bottom
1002,2,2,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,4620,60,1,60,44.23212833,-124.247595,Bottom
1002,2,2,Paralichthyidae%Citharichthys%NA,13002,60,1,60,44.23212833,-124.247595,Bottom
1002,2,2,Pleuronectidae%NA%NA,42569,60,1,60,44.23212833,-124.247595,Bottom
1002,2,2,Pleuronectidae%Parophrys%Parophrys vetulus,16343,60,1,60,44.23212833,-124.247595,Bottom
1003,1,2,Clupeidae%Clupea%Clupea pallasii,122,60,1,50,44.23212833,-124.247595,MidWater
1003,1,2,Merlucciidae%Merluccius%NA,1173,60,1,50,44.23212833,-124.247595,MidWater
1003,1,2,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,5592,60,1,50,44.23212833,-124.247595,MidWater
1003,1,2,Paralichthyidae%Citharichthys%NA,275,60,1,50,44.23212833,-124.247595,MidWater
1003,1,2,Pleuronectidae%NA%NA,4084,60,1,50,44.23212833,-124.247595,MidWater
1003,2,2,Clupeidae%Clupea%Clupea pallasii,61433,60,1,50,44.23212833,-124.247595,MidWater
1003,2,2,Clupeidae%Sardinops%Sardinops sagax,219,60,1,50,44.23212833,-124.247595,MidWater
1003,2,2,Merlucciidae%Merluccius%Merluccius productus,133,60,1,50,44.23212833,-124.247595,MidWater
1003,2,2,Myctophidae%Diaphus%Diaphus theta,208,60,1,50,44.23212833,-124.247595,MidWater
1003,2,2,Myctophidae%Stenobrachius%NA,7,60,1,50,44.23212833,-124.247595,MidWater
1003,2,2,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,738,60,1,50,44.23212833,-124.247595,MidWater
1003,2,2,Paralichthyidae%Citharichthys%NA,58,60,1,50,44.23212833,-124.247595,MidWater
1003,2,2,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,510,60,1,50,44.23212833,-124.247595,MidWater
1003,2,2,Pleuronectidae%Lyopsetta%Lyopsetta exilis,3292,60,1,50,44.23212833,-124.247595,MidWater
1003,2,2,Pleuronectidae%NA%NA,3463,60,1,50,44.23212833,-124.247595,MidWater
1003,2,2,Pleuronectidae%Psettichthys%Psettichthys melanostictus,230,60,1,50,44.23212833,-124.247595,MidWater
1003,3,2,Clupeidae%Clupea%Clupea pallasii,58957,60,1,50,44.23212833,-124.247595,MidWater
1003,3,2,Clupeidae%Sardinops%Sardinops sagax,269,60,1,50,44.23212833,-124.247595,MidWater
1003,3,2,Merlucciidae%Merluccius%Merluccius angustimanus|productus,6599,60,1,50,44.23212833,-124.247595,MidWater
1003,3,2,Merlucciidae%Merluccius%NA,4800,60,1,50,44.23212833,-124.247595,MidWater
1003,3,2,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,50626,60,1,50,44.23212833,-124.247595,MidWater
1003,3,2,Paralichthyidae%Citharichthys%NA,1678,60,1,50,44.23212833,-124.247595,MidWater
1003,3,2,Pleuronectidae%Lyopsetta%Lyopsetta exilis,6267,60,1,50,44.23212833,-124.247595,MidWater
1003,3,2,Pleuronectidae%NA%NA,11933,60,1,50,44.23212833,-124.247595,MidWater
1003,4,2,Clupeidae%Clupea%Clupea pallasii,20489,60,1,50,44.23212833,-124.247595,MidWater
1003,4,2,Merlucciidae%Merluccius%Merluccius productus,2585,60,1,50,44.23212833,-124.247595,MidWater
1003,4,2,Merlucciidae%Merluccius%NA,1027,60,1,50,44.23212833,-124.247595,MidWater
1003,4,2,Myctophidae%Stenobrachius%NA,1393,60,1,50,44.23212833,-124.247595,MidWater
1003,4,2,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,3973,60,1,50,44.23212833,-124.247595,MidWater
1003,4,2,Paralichthyidae%Citharichthys%NA,1207,60,1,50,44.23212833,-124.247595,MidWater
1003,4,2,Pleuronectidae%Lyopsetta%Lyopsetta exilis,1116,60,1,50,44.23212833,-124.247595,MidWater
1003,4,2,Pleuronectidae%NA%NA,21530,60,1,50,44.23212833,-124.247595,MidWater
1004,1,1,Clupeidae%Clupea%Clupea pallasii,21,60,1,50,44.23212833,-124.247595,MidWater
1004,1,1,Hexagrammidae%Ophiodon%Ophiodon elongatus,608,60,1,50,44.23212833,-124.247595,MidWater
1004,1,1,Merlucciidae%Merluccius%NA,9,60,1,50,44.23212833,-124.247595,MidWater
1004,1,1,Myctophidae%NA%NA,523,60,1,50,44.23212833,-124.247595,MidWater
1004,1,1,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,289,60,1,50,44.23212833,-124.247595,MidWater
1004,1,1,Pleuronectidae%Lyopsetta%Lyopsetta exilis,1268,60,1,50,44.23212833,-124.247595,MidWater
1004,1,1,Pleuronectidae%NA%NA,3805,60,1,50,44.23212833,-124.247595,MidWater
1004,1,2,Clupeidae%Clupea%Clupea pallasii,2612,60,1,50,44.23212833,-124.247595,MidWater
1004,1,2,Engraulidae%Engraulis%Engraulis mordax,257,60,1,50,44.23212833,-124.247595,MidWater
1004,1,2,Engraulidae%NA%NA,305,60,1,50,44.23212833,-124.247595,MidWater
1004,1,2,Hexagrammidae%Ophiodon%Ophiodon elongatus,286,60,1,50,44.23212833,-124.247595,MidWater
1004,1,2,Merlucciidae%Merluccius%Merluccius productus,173,60,1,50,44.23212833,-124.247595,MidWater
1004,1,2,Myctophidae%NA%NA,1453,60,1,50,44.23212833,-124.247595,MidWater
1004,1,2,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,658,60,1,50,44.23212833,-124.247595,MidWater
1004,1,2,Paralichthyidae%Citharichthys%NA,228,60,1,50,44.23212833,-124.247595,MidWater
1004,1,2,Pleuronectidae%Eopsetta%Eopsetta jordani,595,60,1,50,44.23212833,-124.247595,MidWater
1004,1,2,Pleuronectidae%Lyopsetta%Lyopsetta exilis,747,60,1,50,44.23212833,-124.247595,MidWater
1004,1,2,Pleuronectidae%NA%NA,2605,60,1,50,44.23212833,-124.247595,MidWater
1004,2,2,Clupeidae%Clupea%Clupea pallasii,2472,60,1,50,44.23212833,-124.247595,MidWater
1004,2,2,Myctophidae%NA%NA,1726,60,1,50,44.23212833,-124.247595,MidWater
1004,2,2,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,6437,60,1,50,44.23212833,-124.247595,MidWater
1004,2,2,Paralichthyidae%Citharichthys%NA,2486,60,1,50,44.23212833,-124.247595,MidWater
1004,2,2,Pleuronectidae%Glyptocephalus%Glyptocephalus zachirus,2554,60,1,50,44.23212833,-124.247595,MidWater
1004,2,2,Pleuronectidae%NA%NA,2298,60,1,50,44.23212833,-124.247595,MidWater
1004,2,2,Rajidae%Raja%NA,106,60,1,50,44.23212833,-124.247595,MidWater
1004,2,2,Rajidae%Raja%Raja binoculata,48,60,1,50,44.23212833,-124.247595,MidWater
1004,2,2,Salmonidae%Oncorhynchus%NA,2293,60,1,50,44.23212833,-124.247595,MidWater
1004,2,2,Salmonidae%Oncorhynchus%Oncorhynchus tshawytscha,1838,60,1,50,44.23212833,-124.247595,MidWater
1004,2,2,Scombridae%Scomber%Scomber japonicus,1983,60,1,50,44.23212833,-124.247595,MidWater
1005,1,1,Carangidae%Trachurus%Trachurus symmetricus,4,60,1,25,44.23212833,-124.247595,Surface
1005,1,1,Clupeidae%Clupea%Clupea pallasii,126,60,1,25,44.23212833,-124.247595,Surface
1005,1,1,Engraulidae%NA%NA,34282,60,1,25,44.23212833,-124.247595,Surface
1005,1,1,Merlucciidae%Merluccius%Merluccius productus,303,60,1,25,44.23212833,-124.247595,Surface
1005,1,1,Paralichthyidae%Citharichthys%Citharichthys xanthostigma|sordidus,2473,60,1,25,44.23212833,-124.247595,Surface
