representative,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
09a5cacfcc717ee7b6e818e5f8ae5586dde40e31,271940,Trachurus symmetricus,species,NA,Metazoa,Chordata,Actinopteri,Carangiformes,Carangidae,Trachurus,Trachurus symmetricus
a23bd7e9d3952e8281f5755a3ea973ebcfd63b1a,504568,Salmoninae,subfamily,0.9885,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,,
3d93e9753e58c59a65605680bf8a46735ed450e9,1569704,Oreochromis niloticus x Oreochromis aureus,species,NA,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,Oreochromis,Oreochromis niloticus x Oreochromis aureus
760fc3cb05911cd49affeee1052ade0166c54bc9,74940,Oncorhynchus tshawytscha,species,NA,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha
42737cd65bab38b57ea8949256ab1dbc59f5d054,89952,Merluccius productus,species,NA,Metazoa,Chordata,Actinopteri,Gadiformes,Merlucciidae,Merluccius,Merluccius productus
394941fe61578579e0311cf90225a8cdce9c63c9,5001386,Citharichthys xanthostigma|sordidus,species,NA,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys xanthostigma|sordidus
eb03ca8a7e6dfbbd5c2fc7d4156e886791938841,5001017,Sebastes sp. UW150443|emphaeus|variegatus|wilsoni|zacentrus,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes sp. UW150443|emphaeus|variegatus|wilsoni|zacentrus
e44557dd4b64b3b1ac387d666b8458e3e9ea1d6c,28381,Sardinops sagax,species,NA,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Sardinops,Sardinops sagax
8f00434fb9a2412bc792729aad268d1f2c1d457d,557352,Nansenia candida,species,NA,Metazoa,Chordata,Actinopteri,Argentiniformes,Microstomatidae,Nansenia,Nansenia candida
27957660a97efa9a9104bb5329b3b2fd120cf083,91653,Diaphus theta,species,NA,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Diaphus,Diaphus theta
2781665c3fb61ab6030676d6e1163a3d7ca81267,41705,Protacanthopterygii,no rank,0.9971,Metazoa,Chordata,Actinopteri,,,,
cde5f473f8ee01b4bc495141ef9f95b86c0f780c,8256,Pleuronectidae,family,0.9996,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
99a381b3da53cf684d81bfb9cd77042f17d1eb1d,1489799,Bathylagidae,family,0.916,Metazoa,Chordata,Actinopteri,Argentiniformes,Bathylagidae,,
be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,30724,Clupea pallasii,species,NA,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
608ca2cb2d1470dd3f4d8ea3a0054534f1971658,8018,Oncorhynchus keta,species,NA,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta
c2c5504fad8054bb4b57e18ae24c1e5267345799,91658,Stenobrachius leucopsarus,species,NA,Metazoa,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,Stenobrachius leucopsarus
48b78a13fb721ad818cd01bc537475c12886758d,319451,Tactostoma macropus,species,NA,Metazoa,Chordata,Actinopteri,Stomiiformes,Stomiidae,Tactostoma,Tactostoma macropus
78d17e1269e4bb40ba3575394b70f9030321c58b,8256,Pleuronectidae,family,0.998,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
7de221449042e1da583f638bbc7dd6e0a353c851,8256,Pleuronectidae,family,NA,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,,
de65ed07e4182afbd45229663ffbeac6af3e425c,1489388,Euteleosteomorpha,cohort,0.9993,Metazoa,Chordata,Actinopteri,,,,
a4b027b4c2456fd7b71a5ba8e1416c3430d4d134,365067,Engraulinae,subfamily,1,Metazoa,Chordata,Actinopteri,Clupeiformes,Engraulidae,,
09634633b62eea664914842a286ee6c7ee969234,225387,Ophiodon elongatus,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Hexagrammidae,Ophiodon,Ophiodon elongatus
c8049f8ff74e387f0186c4a0403c77a9904680ec,13676,Scomber japonicus,species,NA,Metazoa,Chordata,Actinopteri,Scombriformes,Scombridae,Scomber,Scomber japonicus
ddffdd8c09ab1baff6d03a500e0ab282711dc951,319775,Citharichthys stigmaeus,species,NA,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus
c91df8b62d10b9708b59d4a5a359e8ba29ab6983,1489872,Percomorphaceae,no rank,1,Metazoa,Chordata,Actinopteri,,,,
bd2c9008e805e7c7e00b75a42efee305a23039c1,5001254,Sebastes sp. NA|flavidus|melanops|serranoides,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes sp. NA|flavidus|melanops|serranoides
1c0e431d3b1b3c62291ed6bc27c7b5a6304f4130,8092,Cottidae,family,0.9931,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,,
f1565bdad12daa27c10f267d489a6c70f172c10b,8016,Oncorhynchus,genus,0.9691,Metazoa,Chordata,Actinopteri,Salmoniformes,Salmonidae,Oncorhynchus,
5dd046e872a3d4a2d69e5d74a88f680516715f9f,30724,Clupea pallasii,species,NA,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
e71684194a2a061ff7daa95baf0472a01cda855b,341241,Raja binoculata,species,NA,Metazoa,Chordata,Chondrichthyes,Rajiformes,Rajidae,Raja,Raja binoculata
8f9d2f04549dd67c605bd31cb4ed3f04ec024476,129043,Cololabis saira,species,NA,Metazoa,Chordata,Actinopteri,Beloniformes,Belonidae,Cololabis,Cololabis saira
3a6a037eecbd27a2f5ef4f35a267e4c7d5929118,72081,Sebastes jordani,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes jordani
db2b65dd77635828f6ba4e9845c212a57b37e7ef,195617,Isopsetta isolepis,species,NA,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis
72a24462ad54fd46ce8b0d9bd5cc8aeb01e69511,300346,Hypomesus pretiosus,species,NA,Metazoa,Chordata,Actinopteri,Osmeriformes,Osmeridae,Hypomesus,Hypomesus pretiosus
cde6f4a6b5280c9eaf7695f62f4df6bb3f7b122d,80721,Microgadus proximus,species,NA,Metazoa,Chordata,Actinopteri,Gadiformes,Gadidae,Microgadus,Microgadus proximus
c5c9292b1299f44d8ef53d164ecf420695e5f686,476916,Clupea pallasii pallasii,subspecies,NA,Metazoa,Chordata,Actinopteri,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
4262a8fc03677186d50ba3d9017f697b5b229993,72073,Sebastes entomelas,species,NA,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,Sebastes entomelas
28860ad64e931119c4f8c3be4f31ff601d1d7de5,7873,Hydrolagus colliei,species,NA,Metazoa,Chordata,Chondrichthyes,Chimaeriformes,Chimaeridae,Hydrolagus,Hydrolagus colliei
6e82711d6515a0aec2808ae8be7d99113f3f5f64,195599,Citharichthys,genus,1,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Citharichthys,
c8399ba990731242f8cf5961441c0a881899d177,7797,Squalus acanthias,species,1,Metazoa,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias
64316915c3a82d4ce0de693d51fad93bc113dbe2,8092,Cottidae,family,0.9984,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,,
63c9c2740582c480fe995c3fbe6b76444b75b8da,7797,Squalus acanthias,species,NA,Metazoa,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,Squalus acanthias
992270f72b61ebf2e60d91da4a94a00fd00f235b,8113,Cichlidae,family,0.9999,Metazoa,Chordata,Actinopteri,Cichliformes,Cichlidae,,
f3b74d9322d8a6c3c56c0d090520b69853470b3d,34820,Sebastes,genus,0.911,Metazoa,Chordata,Actinopteri,Perciformes,Sebastidae,Sebastes,
283c8023e0bc2e4eb1631a62884dbb375bdfdfa6,195609,Eopsetta jordani,species,NA,Metazoa,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Eopsetta,Eopsetta jordani
ee218cad8a54bc88b50a55f98142e40dc25a413c,7815,Prionace glauca,species,NA,Metazoa,Chordata,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Prionace,Prionace glauca
