SampleID,Year,ROV_CTD_Rosette,Latitude,Longitude,Depth
NA092-084-01-eDNA-vial61,2017,ROV,19.20107354,-110.6650868,2867.31794
NA073-045,2016,ROV,32.98051505,-120.9517473,2552.710785
NA073-055,2016,ROV,32.99171751,-121.0227683,792.361885
NA073-054,2016,ROV,32.99834657,-121.016076,788.1923066
NA073-051,2016,ROV,33.00061316,-121.007945,916.4235459
NA073-052,2016,ROV,33.00191792,-121.009475,797.3150177
SH_18_12-246,2018,ROV,33.1395,-120.3685,261.6
SH_18_12-236,2018,CTD Rosette,33.1441,-120.353,364
RL-19-05-121,2019,ROV,33.1796,-118.4576,1233
RL-19-05-122,2019,ROV,33.1796,-118.4576,1233
RL1905_eDNA 56,2019,CTD Rosette,33.1868,-118.4671,1209
RL-19-05-125,2019,ROV,33.1885,-118.4679,1245
RL-19-05-126,2019,ROV,33.1885,-118.4679,1245
RL1905_eDNA 57,2019,CTD Rosette,33.1915,-118.4723,1214
NA083-059-eDNA-vial 25,2017,ROV,33.34156621,-118.5263639,86.14551877
NA083-061-eDNA-vial 29,2017,ROV,33.34285116,-118.5222388,42.11738005
NA083-062-eDNA-vial 28,2017,ROV,33.3430657,-118.5219236,20.45424693
NA083-060-eDNA-vial 26,2017,ROV,33.3436085,-118.5244665,44.60275146
NA083-071-eDNA vial 32,2017,ROV,33.3558015,-119.047192,89.76254915
NA083-069-eDNA vial 31,2017,ROV,33.3560675,-119.0469377,84.14837722
NA083-064-eDNA-vial30,2017,ROV,33.36064367,-119.0410527,38.12879092
NA083-053-eDNA-vial 19,2017,ROV,33.41073711,-119.0411448,479.9972709
NA083-054-eDNA-vial 20,2017,ROV,33.41429149,-119.042589,415.8033662
NA083-055-eDNA-vial 21,2017,ROV,33.42202339,-119.0454678,311.2117443
NA083-056-eDNA vial 22,2017,ROV,33.4402295,-119.034224,179.0678318
NA083-058-eDNA-vial 24,2017,ROV,33.45083389,-119.029053,88.41835946
NA083-057-eDNA-vial 23,2017,ROV,33.451082,-119.029139,84.53892637
NA083-026-01-E-eDNA vial 7,2017,ROV,33.46962614,-119.1515063,271.6474637
NA083-014-01-E-eDNA vial 4,2017,ROV,33.4779535,-119.1410765,161.1088484
NA083-047-eDNA-vial 15,2017,ROV,33.47834947,-119.1420671,144.7317297
NA083-015-01-E-eDNA vial 5,2017,ROV,33.4785375,-119.14488,154.9639581
NA083-017-01-E-eDNA vial 6,2017,ROV,33.478698,-119.1456585,167.0133322
NA083-036-eDNA vial 17,2017,ROV,33.47954792,-119.1357333,193.5656635
NA083-043-eDNA-vial 16,2017,ROV,33.48208443,-119.150986,198.075552
NA083-039-eDNA-vial 18,2017,ROV,33.4853145,-119.153657,235.6700646
NA083-008-01-E-eDNA vial 3,2017,ROV,33.51391646,-119.1284226,395.1736725
NA083-006-01-E-eDNA vial 1,2017,ROV,33.515791,-119.1267743,399.8657838
NA083-007-01-E-eDNA vial 2,2017,ROV,33.51656147,-119.1259388,384.2666867
NA073-068,2016,ROV,33.69911372,-118.3704067,338.0755011
RL-19-05-096,2019,ROV,33.8927,-119.7894,1043
NA123-101,2020,ROV,33.8933575,-119.706765,1117.479579
NA123-106,2020,ROV,33.8956365,-119.7097005,1066.613033
NA123-108,2020,ROV,33.896326,-119.7224604,1014.728089
NA074-113,2016,ROV,33.8978004,-119.927456,87.9
RL-19-05-102,2019,ROV,33.8985,-119.7892,747
NA074-125,2016,ROV,33.899114,-119.931196,84.98
NA074-104,2016,ROV,33.904178,-119.918946,89.6
NA122-064,2020,ROV,33.91021505,-119.409257,540.0060761
NA122-067,2020,ROV,33.916943,-119.412922,483.4638148
NA122-071,2020,ROV,33.91882009,-119.4160607,492.5916136
SH_18_12-165,2018,CTD Rosette,33.92013,-119.8013,526
NA122-082,2020,ROV,33.926549,-119.4188485,395.0283431
NA083-033-02-eDNA-14,2017,ROV,33.92835883,-119.8055875,110.6150287
NA122-083,2020,ROV,33.9289195,-119.4198685,367.0862328
NA123-143,2020,ROV,33.9362975,-119.486899,557.1754312
NA083-032-02-eDNA-13,2017,ROV,33.936416,-119.8213705,148.2327711
NA123-142,2020,ROV,33.93660343,-119.4831083,535.4618671
NA083-028-E-eDNA vial 09,2017,ROV,33.9395475,-119.8310401,236.1580806
NA123-111,2020,ROV,33.9400925,-119.4792461,573.8916048
NA083-027-E-eDNA vial 08,2017,ROV,33.940248,-119.8331211,194.3916272
NA123-118,2020,ROV,33.951801,-119.4855515,461.8383753
NA123-127,2020,ROV,33.958506,-119.4749994,189.0303617
NA123-123,2020,ROV,33.959528,-119.4847905,219.5842717
NA123-129,2020,ROV,33.9596835,-119.4738815,187.4080528
NA123-130,2020,ROV,33.959886,-119.4734805,53.89254924
NA074-035,2016,ROV,33.960721,-119.481488,151.5
RL1905_eDNA 53,2019,CTD Rosette,33.9831,-119.3635,523
RL-19-05-106,2019,ROV,33.9851,-119.3626,436
NA122-050,2020,ROV,33.98551313,-119.3492875,438.9977481
RL-19-05-110,2019,ROV,33.9874,-119.3625,298
NA074-107,2016,ROV,33.98975,-119.921315,92.5
NA122-056,2020,ROV,33.9899525,-119.3472555,385.2788747
NA083-029-eDNA vial 10,2017,ROV,33.9902772,-119.4055811,98.40128331
SH_18_12-179,2018,ROV,33.992,-119.3722,86
NA083-030-eDNA vial 11,2017,ROV,33.9922035,-119.40032,81.60084694
NA083-031-eDNA vial 12,2017,ROV,33.9929615,-119.397836,74.09515328
NA123-085,2020,ROV,34.060488,-120.560013,140.1770675
NA123-090,2020,ROV,34.06517,-120.5580909,127.5494574
NA123-150,2020,ROV,34.0840005,-119.6018011,105.4988366
NA074-075,2016,ROV,34.086315,-120.102604,82.3
NA074-070,2016,ROV,34.086848,-120.102031,84.8
NA073-013,2016,ROV,34.31905536,-119.8987225,412.4434227
NA073-012,2016,ROV,34.32405147,-119.9757435,500.3435217
NA074-087,2016,ROV,34.33541,-121.1201009,1545.9
NA074-066,2016,ROV,34.338088,-121.123371,1503.4
NA074-063,2016,ROV,34.338152,-121.122794,1529.4
NA074-059,2016,ROV,34.338266,-121.122613,1542.4
NA073-016,2016,ROV,34.3539115,-119.892901,295.5244376
NA073-017,2016,ROV,34.359381,-119.8931008,194.5731602
SH_18_12-232,2018,CTD Rosette,34.5041,-120.7318,114
SH_18_12-231,2018,ROV,34.5292,-120.7815,102
SH_18_12-224,2018,CTD Rosette,34.5883,-120.8318,333
NA123-040,2020,ROV,34.70299287,-121.4913593,868.5373167
NA123-047,2020,ROV,34.70847347,-121.4958879,845.077642
NA123-052,2020,ROV,34.71566612,-121.5156246,955.3679439
NA123-072,2020,ROV,34.716124,-121.7814735,2900.920739
NA123-073,2020,ROV,34.71628772,-121.7810222,698.3944014
NA123-065,2020,ROV,34.73090077,-121.8221322,3490.8684
NA123-068,2020,ROV,34.73278711,-121.8075465,3058.086155
SH_18_12-203,2018,CTD Rosette,34.86098333,-121.0424567,455
NA123-020,2020,ROV,34.8776045,-121.7371585,188.6612464
NA123-018,2020,ROV,34.877656,-121.737242,1209.277117
NA123-014,2020,ROV,34.8835215,-121.7466085,1312.285469
NA123-004,2020,ROV,34.88787289,-121.76085,1507.695483
RL-19-05-086,2019,ROV,34.9022,-121.071,447
RL-19-05-092,2019,ROV,34.9026,-121.0538,379
SH_18_12-222,2018,ROV,34.9668,-121.351,433
SH_18_12-209,2018,CTD Rosette,34.976,-121.3719,459
RL1905_eDNA 43,2019,CTD Rosette,35.0651,-121.5328,645
RL1905_eDNA 47,2019,CTD Rosette,35.071,-121.5308,577
RL1905_eDNA 48,2019,CTD Rosette,35.072,-121.5326,595
RL-19-05-079,2019,ROV,35.0744,-121.5324,603
RL1905_eDNA 46,2019,CTD Rosette,35.1468,-121.4183,570
RL1905_eDNA 45,2019,CTD Rosette,35.1671,-121.4308,540
NA123-024,2020,ROV,35.532244,-122.8355431,3091.572885
NA123-023,2020,ROV,35.533487,-122.839857,3081.007728
NA123-028,2020,ROV,35.53486043,-122.8257308,3170.360188
NA123-033,2020,ROV,35.54407133,-122.8199535,995.3470169
NA122-040,2020,ROV,35.5821075,-122.6286442,3240.154026
SH_18_12-125,2018,CTD Rosette,35.7423,-121.4944,466
RL1905_eDNA 40,2019,CTD Rosette,36.1591,-122.0063,1106
RL-19-05-067,2019,ROV,36.1655,-122.0086,976
RL-19-05-064,2019,ROV,36.556,-122.0728,1095
RL-19-05-065,2019,ROV,36.5565,-122.0699,1012
RL1905_eDNA 37,2019,CTD Rosette,36.5638,-122.0801,1239
RL-19-05-066,2019,ROV,36.593,-122.0889,1138
RL1905_eDNA 33,2019,CTD Rosette,36.8643,-122.322,1196
RL-19-05-058,2019,ROV,36.8673,-122.3181,1201
RL-19-05-060,2019,ROV,36.8684,-122.319,1162
RL1905_eDNA 34,2019,CTD Rosette,36.8743,-122.33,671
NA122-015,2020,ROV,37.20872808,-123.0713239,986.5217949
NA122-017,2020,ROV,37.20880914,-123.0712725,986.4150499
NA122-018,2020,ROV,37.2088101,-123.0713095,937.0750383
NA077-034,2016,ROV,37.27238057,-123.0965831,756.8
NA077-035,2016,ROV,37.27260386,-123.0947017,746.29
NA077-027,2016,ROV,37.27724149,-123.0964397,753.6
NA077-044,2016,ROV,37.65893089,-123.2632327,1669.2
NA077-046,2016,ROV,37.66641518,-123.2582495,1372.8
RL1905_eDNA 30,2019,CTD Rosette,37.8233,-123.4243,1077
RL-19-05-051,2019,ROV,37.8276,-123.4259,981
RL-19-05-053,2019,ROV,37.8301,-123.4242,870
RL1905_eDNA 26,2019,CTD Rosette,37.9568,-123.5656,1700
RL-19-05-045,2019,ROV,37.96,-123.5145,1100
RL1905_eDNA 27,2019,CTD Rosette,37.9655,-123.5395,1485
RL-19-05-042,2019,ROV,37.9775,-123.5166,1185
NA085-066-03-eDNA-vial40,2017,ROV,37.9839711,-123.4923239,947.4083199
NA085-074-04-eDNA-vial41,2017,ROV,37.98736709,-123.4922749,881.671193
NA116-014,2019,ROV,38.04576061,-123.622363,1721.937861
NA116-022,2019,ROV,38.0464925,-123.6085315,1786.767812
NA116-008,2019,ROV,38.047853,-123.6261293,1839.061394
NA116-016,2019,ROV,38.0486975,-123.6166334,1690.305863
NA116-004,2019,ROV,38.0499515,-123.639794,2013.439545
NA085-044-03-eDNA-vial36,2017,ROV,38.08765746,-123.7022832,2647.168526
NA085-047-eDNA-vial37,2017,ROV,38.08798586,-123.6979781,2645.072291
NA085-051-eDNA-vial38,2017,ROV,38.11140054,-123.6582676,2119.999868
NA085-053-04-eDNA-vial39,2017,ROV,38.11142082,-123.6582211,2113.753807
NA116-053,2019,ROV,38.15664446,-123.8369523,3302.342993
NA116-049,2019,ROV,38.1566464,-123.8394529,3300.558281
NA085-087-eDNA-vial44,2017,ROV,38.22802561,-123.5815503,944.6639596
NA085-086-eDNA-vial43,2017,ROV,38.228993,-123.5860577,986.9882068
NA085-082-eDNA-vial42,2017,ROV,38.229399,-123.6045929,1246.162999
NA085-024-03-eDNA-vial33,2017,ROV,38.23289328,-123.6608176,1526.280837
NA085-039-eDNA-vial34,2017,ROV,38.23295202,-123.6211047,1201.855226
NA085-040-03-eDNA-vial35,2017,ROV,38.23299144,-123.6213654,1203.429242
NA116-025,2019,ROV,38.57666888,-123.815095,1705.66891
NA116-028,2019,ROV,38.6166945,-123.7426029,476.6626375
SH_18_12-117,2018,ROV,38.6772,-123.7926,326
NA077-008,2016,ROV,38.99254318,-124.1426399,1275
NA077-003,2016,ROV,38.9943789,-124.1414665,1193
NA077-004,2016,ROV,38.99677823,-124.1390898,1160
